merchant,description,amount,date,type,category,confidence,method,transaction_type
FRESH LAUNDRY - NUS SI SGP 17NOV,FRESH LAUNDRY - NUS SI SGP 17NOV,1.0,2024-11-21,withdrawal,others,0.8252667784690857,bert,Debit Card Transaction
STARBUCKS@NUS(UT) SI SGP 18NOV,STARBUCKS@NUS(UT) SI SGP 18NOV,0.8,2024-11-21,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,1.6,2024-11-22,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,200.0,2024-11-22,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,7.1,2024-11-22,withdrawal,others,1.0,hardcoded,Funds Transfer
CHEERS - COLLEGE AVE W SI SGP 18NOV,CHEERS - COLLEGE AVE W SI SGP 18NOV,5.4,2024-11-22,withdrawal,groceries,1.0,hardcoded,Debit Card Transaction
BUS/MRT 538260521 SI SGP 17NOV,BUS/MRT 538260521 SI SGP 17NOV,3.42,2024-11-22,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,6.8,2024-11-23,withdrawal,others,1.0,hardcoded,Funds Transfer
BUS/MRT 538645003 SI SGP 18NOV,BUS/MRT 538645003 SI SGP 18NOV,3.71,2024-11-23,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
MCDONALDS 930184 SI SGP 20NOV,MCDONALDS 930184 SI SGP 20NOV,5.5,2024-11-23,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
YEW KEE - NUS U TOWN SI SGP 20NOV,YEW KEE - NUS U TOWN SI SGP 20NOV,6.8,2024-11-23,withdrawal,groceries,0.3880314528942108,bert,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,5.5,2024-11-25,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,5.9,2024-11-25,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,3.6,2024-11-25,withdrawal,others,1.0,hardcoded,Funds Transfer
BUS/MRT 539591762 SI SGP 19NOV,BUS/MRT 539591762 SI SGP 19NOV,4.39,2024-11-25,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
YEW KEE - NUS U TOWN SI SGP 21NOV,YEW KEE - NUS U TOWN SI SGP 21NOV,5.8,2024-11-25,withdrawal,groceries,0.3880314528942108,bert,Debit Card Transaction
MCDONALDS 930184 SI SGP 21NOV,MCDONALDS 930184 SI SGP 21NOV,5.7,2024-11-25,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
BUS/MRT 540123775 SI SGP 20NOV,BUS/MRT 540123775 SI SGP 20NOV,4.39,2024-11-26,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
IM ACAI PTE LTD N/A SGP 22NOV,IM ACAI PTE LTD N/A SGP 22NOV,9.9,2024-11-26,withdrawal,transportation,0.21502022445201874,bert,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,3.8,2024-11-27,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,5.0,2024-11-27,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,6.8,2024-11-27,withdrawal,others,1.0,hardcoded,Funds Transfer
BUS/MRT 540647867 SI SGP 21NOV,BUS/MRT 540647867 SI SGP 21NOV,4.39,2024-11-27,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
STARBUCKS-SC-MOBILE AP SI SGP 23NOV,STARBUCKS-SC-MOBILE AP SI SGP 23NOV,10.0,2024-11-27,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
JOLLIBEE NUS SINGAPORE SGP 24NOV,JOLLIBEE NUS SINGAPORE SGP 24NOV,9.65,2024-11-27,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,0.9,2024-11-28,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,5.0,2024-11-28,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,153.97,2024-11-28,withdrawal,others,1.0,hardcoded,Funds Transfer
FRESH LAUNDRY - NUS SI SGP 24NOV,FRESH LAUNDRY - NUS SI SGP 24NOV,1.0,2024-11-28,withdrawal,others,0.8252667784690857,bert,Debit Card Transaction
FRESH LAUNDRY - NUS SI SGP 24NOV,FRESH LAUNDRY - NUS SI SGP 24NOV,1.0,2024-11-28,withdrawal,others,0.8252667784690857,bert,Debit Card Transaction
CHEERS - COLLEGE AVE W SI SGP 24NOV,CHEERS - COLLEGE AVE W SI SGP 24NOV,3.8,2024-11-28,withdrawal,groceries,1.0,hardcoded,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,5.8,2024-11-29,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,1.6,2024-11-30,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,5.8,2024-11-30,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,6.1,2024-11-30,withdrawal,others,1.0,hardcoded,Funds Transfer
MUJI-JEM SINGAPORE SGP 28NOV,MUJI-JEM SINGAPORE SGP 28NOV,3.2,2024-11-30,withdrawal,shopping,1.0,hardcoded,Debit Card Transaction
UNIQLO JEM SINGAPORE SGP 28NOV,UNIQLO JEM SINGAPORE SGP 28NOV,9.9,2024-11-30,withdrawal,shopping,1.0,hardcoded,Debit Card Transaction
DON DON DONKI - JEM SI SGP 28NOV,DON DON DONKI - JEM SI SGP 28NOV,43.8,2024-11-30,withdrawal,groceries,1.0,hardcoded,Debit Card Transaction
MR BEAN - NUS SINGAPORE SGP 28NOV,MR BEAN - NUS SINGAPORE SGP 28NOV,2.61,2024-11-30,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
4 4 4 4 4,4,0.58,2024-11-30,deposit,others,1.0,filtered_noise,Interest Earned
